"","year","month","carrier_name","total_delay","delay_carrier","delay_weather","delay_nas","delay_security","delay_late"
"135",2004,1,"US Airways Inc.",4718.74576271186,967,97,1869,0,1786
"136",2004,2,"AirTran Airways Corporation",6335.18421052632,608,49,2773,0,2906
"137",2004,2,"Alaska Airlines Inc.",2468.71111111111,790,31,527,29,1091
"138",2004,2,"America West Airlines Inc.",3523.58,1202,40,1310,16,955
"139",2004,2,"American Airlines Inc.",7546.63953488372,1757,688,2787,6,2309
"140",2004,2,"American Eagle Airlines Inc.",3708.30476190476,910,181,1171,1,1445
"141",2004,2,"Atlantic Coast Airlines",3722.20512820513,692,52,1080,2,1895
"142",2004,2,"Comair Inc.",2679.85585585586,1062,959,604,1,54
"143",2004,2,"Continental Air Lines Inc.",2458.7875,442,31,1473,19,495
"144",2004,2,"Delta Air Lines Inc.",7012.45544554455,1579,194,3206,4,2030
"145",2004,2,"ExpressJet Airlines Inc.",1959.59813084112,388,49,1051,4,469
"146",2004,2,"Hawaiian Airlines Inc.",1416.6875,540,75,60,20,721
"147",2004,2,"JetBlue Airways",1212.72727272727,302,32,484,22,372
"148",2004,2,"Northwest Airlines Inc.",3031.0625,1075,188,1323,8,438
"149",2004,2,"SkyWest Airlines Inc.",3002.67647058824,1255,318,880,11,538
"150",2004,2,"Southwest Airlines Co.",9377.62711864407,1788,342,1626,33,5588
"151",2004,2,"United Air Lines Inc.",4264.32926829268,918,53,1970,0,1323
"152",2004,2,"US Airways Inc.",3542.27868852459,726,102,1337,0,1377
"153",2004,3,"AirTran Airways Corporation",2409.94594594595,525,20,817,0,1047
"154",2004,3,"Alaska Airlines Inc.",2645.75555555556,919,37,419,16,1255
"155",2004,3,"America West Airlines Inc.",3446.94,1292,39,1203,13,900
"156",2004,3,"American Airlines Inc.",7790.43023255814,1757,452,3224,15,2342
"157",2004,3,"American Eagle Airlines Inc.",4882.83962264151,1130,205,1583,2,1963
"158",2004,3,"Atlantic Coast Airlines",5032.51315789474,741,59,1429,3,2801
"159",2004,3,"Comair Inc.",1705.2389380531,835,448,384,0,38
"160",2004,3,"Continental Air Lines Inc.",3109.58974358974,569,117,1793,11,620
"161",2004,3,"Delta Air Lines Inc.",3434.52475247525,959,53,1605,3,814
"162",2004,3,"ExpressJet Airlines Inc.",2767.45283018868,454,117,1408,4,783
"163",2004,3,"Hawaiian Airlines Inc.",976.8,655,0,15,4,302
"164",2004,3,"JetBlue Airways",1841.69565217391,516,7,628,30,661
"165",2004,3,"Northwest Airlines Inc.",3129.67567567568,1210,172,1202,13,532
"166",2004,3,"SkyWest Airlines Inc.",1667.19230769231,791,136,362,7,371
"167",2004,3,"Southwest Airlines Co.",8296.4406779661,2027,157,1201,12,4898
"168",2004,3,"United Air Lines Inc.",6177.75308641975,1090,47,2908,0,2132
"169",2004,3,"US Airways Inc.",3735.65,769,38,1325,0,1604
"170",2004,4,"AirTran Airways Corporation",2387,421,30,889,0,1046
"171",2004,4,"Alaska Airlines Inc.",1876.55555555556,718,11,286,11,850
"172",2004,4,"America West Airlines Inc.",2854.92,1126,24,1008,22,675
"173",2004,4,"American Airlines Inc.",5661.57647058824,1464,356,2345,9,1487
"174",2004,4,"American Eagle Airlines Inc.",3361.81132075472,940,84,1090,2,1247
"175",2004,4,"ATA Airlines d/b/a ATA",1212.85185185185,307,7,553,3,343
"176",2004,4,"Atlantic Coast Airlines",3108.55263157895,585,33,909,0,1581
"177",2004,4,"Comair Inc.",1615.70796460177,811,341,419,2,42
"178",2004,4,"Continental Air Lines Inc.",3163.08333333333,685,89,1634,11,744
"179",2004,4,"Delta Air Lines Inc.",3507.61386138614,928,55,1732,13,780
"180",2004,4,"ExpressJet Airlines Inc.",2540.02777777778,379,95,1356,5,705
"181",2004,4,"Hawaiian Airlines Inc.",642.8,492,3,6,3,138
"182",2004,4,"JetBlue Airways",1603.47826086957,369,16,651,23,546
"183",2004,4,"Northwest Airlines Inc.",2437.7962962963,1030,252,814,5,336
"184",2004,4,"SkyWest Airlines Inc.",1634.59223300971,776,157,389,7,306
"185",2004,4,"Southwest Airlines Co.",9663.84745762712,2049,253,1456,32,5873
"186",2004,4,"United Air Lines Inc.",3883.85185185185,805,36,1839,0,1204
"187",2004,4,"US Airways Inc.",3769.7,868,32,1334,0,1536
